date;title
16 Sep 2025; International Day of Science, Technology and Innovation for the South (A/RES/78/259)
16 Sep 2025; International Day for Interventional Cardiology (A/RES/76/302)
16 Sep 2025; International Day for the Preservation of the Ozone Layer (A/RES/49/114)
17 Sep 2025; World Patient Safety Day [WHO]
18 Sep 2025; International Equal Pay Day (A/RES/74/142)
20 Sep 2025; World Cleanup Day (A/RES/78/122)
21 Sep 2025; International Day of Peace (A/RES/36/67)
23 Sep 2025; International Day of Sign Languages (A/RES/72/161)
26 Sep 2025; World Maritime Day
26 Sep 2025; International Day for the Total Elimination of Nuclear Weapons (A/RES/68/32)
27 Sep 2025; World Tourism Day
28 Sep 2025; International Day for Universal Access to Information (A/RES/74/5)
29 Sep 2025; International Day of Awareness of Food Loss and Waste (A/RES/74/209)
30 Sep 2025; International Translation Day (A/RES/71/288)
01 Oct 2025; International Day of Older Persons (A/RES/45/106)
02 Oct 2025; International Day of Non-Violence (A/RES/61/271)
04 Oct 2025; World Space Week, 4-10 October (A/RES/54/68)
05 Oct 2025; World Teachers’ Day [UNESCO] ((27 C/INF.7))
07 Oct 2025; World Habitat Day (A/RES/40/202 A)
07 Oct 2025; World Cotton Day (A/RES/75/318)
09 Oct 2025; World Post Day
10 Oct 2025; World Mental Health Day [WHO]
12 Oct 2025; World Migratory Bird Day [UNEP]
11 Oct 2025; International Day of the Girl Child (A/RES/66/170)
13 Oct 2025; International Day for Disaster Risk Reduction (A/RES/64/200)
15 Oct 2025; International Day of Rural Women (A/RES/62/136)
16 Oct 2025; World Food Day [FAO] (A/RES/35/70)
17 Oct 2025; International Day for the Eradication of Poverty (A/RES/47/196)
20 Oct 2025; World Statistics Day (A/RES/69/282)
23 Oct 2025; International Day of the Snow Leopard (A/RES/79/143)
24 Oct 2025; United Nations Day (A/RES/168 (II))
24 Oct 2025; Disarmament Week, 24-30 October (A/RES/S-10/2 (p. 102))
24 Oct 2025; World Development Information Day (A/RES/3038 (XXVII))
24 Oct 2025; Global Media and Information Literacy Week, 24-31 October (A/RES/75/267)
27 Oct 2025; World Day for Audiovisual Heritage [UNESCO] (UNESCO 33/C/Resolution 5)
29 Oct 2025; International Day of Care and Support (A/RES/77/317)
31 Oct 2025; World Cities Day (A/RES/68/239)
02 Nov 2025; International Day to End Impunity for Crimes against Journalists (A/RES/68/163)
05 Nov 2025; World Tsunami Awareness Day (A/RES/70/203)
06 Nov 2025; International Day for Preventing the Exploitation of the Environment in War and Armed Conflict (A/RES/56/4)
09 Nov 2025; International Week of Science and Peace, 9-15 November (A/RES/43/61)
10 Nov 2025; World Science Day for Peace and Development (UNESCO 31 C/Resolution 20)
14 Nov 2025; World Diabetes Day (A/RES/61/225)
15 Nov 2025; International Day for the Prevention of and Fight against All Forms of Transnational Organized Crime (A/RES/78/267)
17 Nov 2025; World Day of Remembrance for Road Traffic Victims (A/RES/60/5)
16 Nov 2025; International Day for Tolerance [UNESCO] (28 C/Resolution 5.61)
18 Nov 2025; World Antimicrobial Resistance Awareness Week, 18-24 November [WHO]
18 Nov 2025; World Day for the Prevention of and Healing from Child Sexual Exploitation, Abuse and Violence (A/RES/77/8)
19 Nov 2025; World Toilet Day (A/RES/67/291)
21 Nov 2025; World Philosophy Day [UNESCO] (33 C/Resolution 37)
20 Nov 2025; Africa Industrialization Day (A/RES/44/237)
20 Nov 2025; World Childrens Day (A/RES/836(IX))
21 Nov 2025; World Television Day (A/RES/51/205)
24 Nov 2025; World Conjoined Twins Day (A/RES/78/313)
25 Nov 2025; International Day for the Elimination of Violence against Women (A/RES/54/134)
26 Nov 2025; World Sustainable Transport Day (A/RES/77/286)
29 Nov 2025; International Day of Solidarity with the Palestinian People (A/RES/32/40B)
30 Nov 2025; Day of Remembrance for all Victims of Chemical Warfare (OPCW C-20/DEC.10)
01 Dec 2025; World AIDS Day
02 Dec 2025; International Day for the Abolition of Slavery (A/RES/317(IV))
03 Dec 2025; International Day of Persons with Disabilities (A/RES/47/3)
04 Dec 2025; International Day of Banks (A/RES/74/245)
05 Dec 2025; International Volunteer Day for Economic and Social Development (A/RES/40/212)
05 Dec 2025; World Soil Day (A/RES/68/232)
07 Dec 2025; International Civil Aviation Day (A/RES/51/33)
09 Dec 2025; International Day of Commemoration and Dignity of the Victims of the Crime of Genocide and of the Prevention of this Crime (A/RES/69/323)
09 Dec 2025; International Anti-Corruption Day (A/RES/58/4)
10 Dec 2025; Human Rights Day (A/RES/423 (V))
11 Dec 2025; International Mountain Day (A/RES/57/245)
12 Dec 2025; International Day of Neutrality (A/RES/71/275)
12 Dec 2025; International Universal Health Coverage Day (A/RES/72/138)
18 Dec 2025; International Migrants Day (A/RES/55/93)
18 Dec 2025; Arabic Language Day
20 Dec 2025; International Human Solidarity Day (A/RES/60/209)
21 Dec 2025; World Meditation Day (A/RES/79/137)
21 Dec 2025; World Basketball Day (A/RES/77/324)
27 Dec 2025; International Day of Epidemic Preparedness (A/RES/75/27)
